"序号","单词","分类","音标","词性","中文","词源/记忆技巧","级别","常考题型","常见搭配","易混淆","例句","真题考法"
"81","aunt","家庭成员","/ɑːnt/（英）  /ænt/（美）","n.","阿姨；姑妈；舅妈；姨妈","Aunt 是爸爸妈妈的姐妹，或者叔叔舅舅的妻子。英国人读""昂特""（/ɑːnt/），美国人读""安特""（/ænt/），和 ant（蚂蚁）美式发音一样！可以联想：阿姨（aunt）和蚂蚁（ant）在美国人嘴里听起来一样——但 aunt 是大写、指人哦！","KET 核心词汇","听力 Part 2（家庭介绍/拜访亲戚）；阅读 Part 3（家庭树/人物关系）","my aunt（我的阿姨/姑妈）；visit my aunt（看望阿姨）；Aunt Mary（玛丽姑妈）；aunt and uncle（叔叔阿姨）","aunt（阿姨/姑妈）vs ant（蚂蚁）——美式发音相同，但拼写和意思完全不同；aunt 是 family 成员","My aunt lives in London. 我的姑妈住在伦敦。","听家庭介绍判断""谁住在伦敦""，或阅读家庭树选 aunt 对应的人物关系"
"82","boy","家庭成员","/bɔɪ/","n.","男孩","Boy 来自中古英语，原意是""仆人、少年""。和 girl 是一对反义词。发音像""博伊""，可以联想：男孩（boy）爱踢球，喊""Bo-y!""加油！","KET 核心词汇","听力 Part 2（学校/游乐场）；阅读 Part 3（人物描述/班级介绍）","a little boy（小男孩）；school boy（男学生）；boy and girl（男孩和女孩）；that boy over there（那边的男孩）","boy（男孩）vs girl（女孩）——boy 指男生，girl 指女生；复数 boys / girls","The boy is playing football in the park. 那个男孩在公园踢足球。","听录音描述人物选""男孩在做什么""，或阅读班级介绍判断有几个 boys"
"83","brother","家庭成员","/ˈbrʌðə/（英）  /ˈbrʌðər/（美）","n.","兄弟；哥哥；弟弟","Brother 来自古英语，和德语 Bruder 是亲戚词。Bro 是 brother 的口语缩写，好朋友也互称 bro！记住：brother 是""兄/弟""，sister 是""姐/妹""，合起来是兄弟姐妹。","KET 核心词汇","听力 Part 2（家庭介绍）；阅读 Part 3（家庭描述/兄弟姐妹）","my brother（我的兄弟/哥哥/弟弟）；big brother（哥哥）；little brother（弟弟）；brother and sister（兄妹/姐弟）","brother（兄弟）vs sister（姐妹）——brother 指男性兄弟姐妹，sister 指女性；older brother = 哥哥","I have one brother and two sisters. 我有一个哥哥/弟弟和两个姐姐/妹妹。","听家庭介绍判断""有几个兄弟姐妹""，或阅读选 brother 的家庭关系"
"84","dad","家庭成员","/dæd/","n.","爸爸（口语）","Dad 是 daddy 的缩写，小孩子最先学会的词之一！和 father 意思一样，但 dad 更亲切、更口语。发音""大大""，就像叫""爸爸""一样简单直接！","KET 核心词汇","听力 Part 2（家庭日常对话）；阅读 Part 3（日记/家庭活动）","my dad（我爸爸）；dad and mum（爸爸妈妈）；Dad's car（爸爸的车）；ask my dad（问我爸爸）","dad（爸爸，口语）vs father（父亲，较正式）——日常对话用 dad，正式场合或书面用 father","My dad drives me to school every day. 我爸爸每天开车送我去学校。","听家庭对话判断""谁送孩子上学""，或阅读日记找出 dad 做了什么"
"85","father","家庭成员","/ˈfɑːðə/（英）  /ˈfɑːðər/（美）","n.","父亲；爸爸","Father 来自古英语 fæder，和 mom/mother 一样，是全世界很多语言都有的""爸爸""词！比 dad 更正式，填表格、写贺卡时常用 father。Father's Day 就是""父亲节""。","KET 核心词汇","听力 Part 2（家庭/节日）；阅读 Part 3（正式介绍/贺卡）","my father（我的父亲）；Father's Day（父亲节）；father and mother（父母）；his father（他的父亲）","father（父亲，正式）vs dad（爸爸，口语）——father 用于正式场合，dad 用于日常聊天","My father works in a hospital. 我父亲在一家医院工作。","阅读正式家庭介绍选 father's job，或听力 Father's Day 相关对话"
"86","girl","家庭成员","/ɡɜːl/（英）  /ɡɜːrl/（美）","n.","女孩","Girl 来自古英语 gyrela，原意是""年轻人""。和 boy 是一对。发音""格尔""，可以联想：女孩（girl）扎着 curl（卷发）——girl 和 curl 押韵好记！","KET 核心词汇","听力 Part 2（学校/朋友）；阅读 Part 3（人物描述/班级）","a little girl（小女孩）；school girl（女学生）；boy and girl（男孩和女孩）；that girl with long hair（那个长发女孩）","girl（女孩）vs boy（男孩）——girl 指女生，boy 指男生","The girl is reading a book under the tree. 那个女孩在树下看书。","听人物描述选""女孩在做什么""，或阅读班级名单统计 girls 人数"
"87","grandma","家庭成员","/ˈɡrænmɑː/（英）  /ˈɡrænmɑː/（美）","n.","奶奶；外婆（口语）","Grandma = grand（隔代的）+ ma（妈妈）——""隔一层的妈妈""就是奶奶或外婆！正式说法是 grandmother，但日常叫 grandma 或 granny 更亲切。Grand 还有""宏伟""的意思，奶奶在你心里就是最伟大的人！","KET 核心词汇","听力 Part 2（家庭拜访/周末活动）；阅读 Part 3（家庭故事）","visit grandma（看望奶奶/外婆）；my grandma（我的奶奶）；Grandma's house（奶奶家）；grandma and grandpa（爷爷奶奶/外公外婆）","grandma（奶奶/外婆，口语）vs grandmother（祖母，正式）——意思相同，grandma 更口语化","I visit my grandma every Sunday. 我每个星期天都去看望奶奶。","听家庭对话判断""周末去看望谁""，或阅读家庭故事找出 grandma 的角色"
"88","grandpa","家庭成员","/ˈɡrænpɑː/（英）  /ˈɡrænpɑː/（美）","n.","爷爷；外公（口语）","Grandpa = grand + pa（爸爸）——""隔一层的爸爸""就是爷爷或外公！和 grandma 是一对。正式说法是 grandfather，但 grandpa 更温暖，很多爷爷喜欢孙子孙女叫 grandpa！","KET 核心词汇","听力 Part 2（家庭/节日）；阅读 Part 3（祖孙故事）","visit grandpa（看望爷爷/外公）；my grandpa（我的爷爷）；Grandpa's garden（爷爷的菜园）；grandpa and grandma（爷爷奶奶/外公外婆）","grandpa（爷爷/外公，口语）vs grandfather（祖父，正式）——拼写和正式程度不同，意思一样","My grandpa tells me stories before bed. 我爷爷睡前给我讲故事。","听祖孙对话判断""爷爷在做什么""，或阅读选 grandpa 的相关活动"
"89","mother","家庭成员","/ˈmʌðə/（英）  /ˈmʌðər/（美）","n.","母亲；妈妈","Mother 和 father 是经典父母配对词，来自古英语 modor。Mother's Day 是母亲节！比 mum/mom 更正式，和 father 一样常用于书面或正式介绍。","KET 核心词汇","听力 Part 2（家庭/节日）；阅读 Part 3（正式介绍/贺卡）","my mother（我的母亲）；Mother's Day（母亲节）；mother and father（父母）；his mother（他的母亲）","mother（母亲，正式）vs mum/mom（妈妈，口语）——mother 正式，mum（英）/ mom（美）口语","My mother cooks dinner for our family. 我妈妈给我们全家做晚餐。","阅读家庭介绍选 mother 的职业或活动，或听力 Mother's Day 相关题目"
"90","Mrs.","家庭成员","/ˈmɪsɪz/","n.（称谓）","夫人；太太；老师（对已婚女性的尊称）","Mrs. 是 Mistress 的缩写，用在已婚女性姓氏前，比如 Mrs. Smith（史密斯夫人/太太）。注意：发音是""米西兹""（/ˈmɪsɪz/），不是""密斯""！在学校，叫女老师 Mrs. + 姓，表示尊重。","KET 核心词汇","听力 Part 1/2（学校/正式介绍）；阅读 Part 5（书信/便条）","Mrs. Smith（史密斯夫人/老师）；Dear Mrs. Jones（亲爱的琼斯夫人）；Mrs. Brown, our teacher（布朗老师）","Mrs.（夫人，已婚）vs Miss（小姐，未婚）——Mrs. 用于已婚女性，Miss 用于未婚女性；都加在姓氏前","Mrs. Wang is our English teacher. 王老师是我们的英语老师。","阅读书信判断收信人称谓，或听力学校场景辨认 Mrs. + 姓氏"
"91","Miss","家庭成员","/mɪs/","n.（称谓）","小姐；老师（对未婚女性的尊称）","Miss 用在未婚女性姓氏前，比如 Miss Green（格林小姐/老师）。发音""密斯""，和 Mrs.（米西兹）不同！在学校叫 Miss + 姓，是对女老师的尊称。三个 M 称谓：Mr. 先生、Mrs. 夫人、Miss 小姐。","KET 核心词汇","听力 Part 1/2（学校/介绍）；阅读 Part 5（书信/通知）","Miss Lee（李小姐/老师）；Dear Miss White（亲爱的怀特小姐）；Miss, our maths teacher（我们的数学老师）","Miss（小姐，未婚）vs Mrs.（夫人，已婚）——Miss 未结婚，Mrs. 已结婚；拼写差一个 r","Miss Chen teaches us music. 陈老师教我们音乐。","阅读通知或书信选正确称谓，或听力判断如何称呼女老师"
"92","Mister","家庭成员","/ˈmɪstə/（英）  /ˈmɪstər/（美）","n.（称谓）","先生","Mister 就是 Mr. 的完整写法，用在男士姓氏前，比如 Mister Brown 或 Mr. Brown（布朗先生）。发音""米斯特""。记住：Mister/Mr. 对男士，Miss 对未婚女士，Mrs. 对已婚女士——三位一家！","KET 核心词汇","听力 Part 1/2（正式介绍/商店）；阅读 Part 5（书信/表格）","Mister Smith / Mr. Smith（史密斯先生）；Dear Mister Brown（亲爱的布朗先生）；Yes, Mister（是的，先生）","Mister/Mr.（先生）vs Miss（小姐）——Mr. 是缩写，Mister 是全称；都用于称呼","Mr. Zhang is our new teacher. 张先生是我们的新老师。","阅读正式信函判断对男士的称谓，或听力商店/学校场景辨认 Mr./Mister"
"93","son","家庭成员","/sʌn/","n.","儿子","Son 和 sun（太阳）发音一模一样，都是 /sʌn/！但 son 是""儿子""（家庭），sun 是""太阳""（天上）。记忆口诀：儿子（son）像太阳（sun）一样，是家里的""小太阳""！daughter 是女儿，和 son 相对。","KET 核心词汇","听力 Part 2（家庭介绍）；阅读 Part 3（家庭关系/拼写辨析）","my son（我的儿子）；son and daughter（儿子和女儿）；their son（他们的儿子）；only son（独子）","son（儿子）vs sun（太阳）——同音不同义、不同拼写；son 是 family，sun 是 sky","They have one son and one daughter. 他们有一个儿子和一个女儿。","阅读家庭介绍判断 son/daughter，或拼写题区分 son 和 sun 的语境"
"94","uncle","家庭成员","/ˈʌŋkl/","n.","叔叔；舅舅；姑父；姨父","Uncle 是爸爸妈妈的兄弟，或 aunt 的丈夫。和 aunt 是一对亲戚词！发音""安克尔""，开头的 un- 像""你的""，可以联想：uncle 是""你的长辈亲戚""。Bob's your uncle 是英式俚语，意思是""搞定了！""","KET 核心词汇","听力 Part 2（家庭拜访）；阅读 Part 3（家庭树/人物关系）","my uncle（我的叔叔/舅舅）；Uncle Tom（汤姆叔叔）；aunt and uncle（叔叔阿姨）；visit my uncle（看望叔叔）","uncle（叔叔/舅舅）vs aunt（阿姨/姑妈）——uncle 是男性长辈，aunt 是女性长辈","My uncle gave me a birthday present. 我叔叔/舅舅送了我一份生日礼物。","听家庭介绍判断 uncle 的角色，或阅读家庭树选 uncle 对应关系"
"95","armchair","居家","/ˈɑːmtʃeə/（英）  /ˈɑːrmtʃer/（美）","n.","扶手椅；单人沙发","Armchair = arm（手臂）+ chair（椅子）——有""扶手""的椅子！可以把胳膊搭在两边扶手上，舒服地坐着看书。Arm 是手臂，chair 是椅子，合起来就是""有手臂支撑的椅子""。","KET 核心词汇","听力 Part 2（描述房间/家具）；阅读 Part 3（家居/酒店描述）","sit in an armchair（坐在扶手椅里）；a comfortable armchair（一张舒适的扶手椅）；leather armchair（皮扶手椅）；by the armchair（在扶手椅旁）","armchair（扶手椅）vs chair（普通椅子）——armchair 有扶手、更大更软，chair 是普通椅子","Grandpa likes reading in his armchair. 爷爷喜欢坐在他的扶手椅里看书。","听房间描述判断""有什么家具""，或阅读家居文章找出 armchair 的位置"
"96","bathroom","居家","/ˈbɑːθruːm/（英）  /ˈbæθruːm/（美）","n.","浴室；卫生间","Bathroom = bath（洗澡）+ room（房间）——""洗澡的房间""！虽然很多 bathroom 也有马桶，但英文里 bathroom 本意是浴室。美国人常说 ""Where's the bathroom?"" 意思是找卫生间。Bath 是洗澡，room 是房间。","KET 核心词汇","听力 Part 2（描述房屋/问路）；阅读 Part 3（公寓/酒店描述）","go to the bathroom（去卫生间）；a big bathroom（大浴室）；bathroom mirror（浴室镜子）；clean the bathroom（打扫卫生间）","bathroom（浴室/卫生间）vs bedroom（卧室）——bathroom 洗澡用，bedroom 睡觉用；都有 room","The bathroom is next to the bedroom. 卫生间在卧室旁边。","听房屋介绍判断 bathroom 位置，或阅读公寓描述选房间功能"
"97","bed","居家","/bed/","n.","床","Bed 来自古英语 bedd，发音和拼写一样短——/bed/！Go to bed 是""上床睡觉""。Bed 还是 bedroom（卧室）的第一个词：bed + room = 放床的房间。","KET 核心词汇","听力 Part 2（日常作息/房间）；阅读 Part 3（卧室描述）","go to bed（上床睡觉）；make the bed（铺床）；in bed（在床上）；a single/double bed（单人/双人床）","bed（床）vs bad（坏的）——bed 中间是 e，bad 中间是 a；bed 是家具，bad 是形容词","I go to bed at nine o'clock. 我九点上床睡觉。","听日常作息选""几点睡觉""，或阅读卧室描述找出 bed 相关细节"
"98","bedroom","居家","/ˈbedruːm/","n.","卧室","Bedroom = bed（床）+ room（房间）——""放床的房间""就是卧室！和 bathroom（浴室）一样，都是 room 复合词。记住：bedroom 睡觉，bathroom 洗澡，living room 客厅——每个 room 有不同功能。","KET 核心词汇","听力 Part 2（描述房屋）；阅读 Part 3（公寓/房间布局）","my bedroom（我的卧室）；a big bedroom（大卧室）；two bedrooms（两间卧室）；clean my bedroom（打扫我的卧室）","bedroom（卧室）vs bathroom（卫生间）——bedroom 有 bed 睡觉，bathroom 有 bath 洗澡","My bedroom is on the second floor. 我的卧室在二楼。","听房屋介绍判断 bedroom 位置或数量，或阅读公寓广告选有几间 bedroom"
"99","blanket","居家","/ˈblæŋkɪt/","n.","毯子；毛毯","Blanket 来自法语 blanc（白色），最早指白色羊毛毯。Blank 是""空白""，blanket 盖在身上像一层""温暖的覆盖""。冬天钻进 blanket 里，又暖又舒服！发音""布兰基特""，blank 像""不冷""。","KET 核心词汇","听力 Part 2（卧室/天气）；阅读 Part 3（家居/露营描述）","a warm blanket（一条暖毯）；under the blanket（在毯子下面）；wool blanket（羊毛毯）；put a blanket on the bed（在床上铺毯子）","blanket（毯子）vs quilt（被子）——blanket 通常较薄单层，quilt 是厚棉被","It's cold, so I need an extra blanket. 天冷了，我需要多一条毯子。","听卧室/露营对话选需要的物品，或阅读判断 blanket 的用途"
"100","bookcase","居家","/ˈbʊkkeɪs/","n.","书柜；书架","Bookcase = book（书）+ case（柜子）——""放书的柜子""就是书柜！Case 有""盒子、柜子""的意思，suitcase 是行李箱。和 bookshelf（书架）意思相近，bookcase 通常是有门或整柜的。","KET 核心词汇","听力 Part 2（描述房间/书房）；阅读 Part 3（家居/学校描述）","a tall bookcase（高书柜）；books on the bookcase（书柜上的书）；in the bookcase（在书柜里）；put books in the bookcase（把书放进书柜）","bookcase（书柜）vs bookshelf（书架）——bookcase 是有柜体的，bookshelf 是开放式架子","There are many books in the bookcase. 书柜里有很多书。","听房间描述判断""书放在哪里""，或阅读家居图选 bookcase 的位置"
